dataset_name,random_state,alpha0,sigma0,nEpochs,cm_tr,cm_ts
vc2c,127815836,0.1,3.0,100,[156  13  15  64],[32  9  7 14]
vc2c,127815836,0.1,10.0,100,[153  16  16  63],[32  9  6 15]
vc2c,127815836,0.1,6.5,100,[162   7  21  58],[34  7  9 12]
vc2c,127815836,0.1,10.0,300,[157  12  21  58],[32  9  8 13]
vc2c,127815836,0.1,6.5,300,[155  14  19  60],[33  8  7 14]
vc2c,127815836,0.30000000000000004,3.0,100,[159  10  25  54],[32  9  9 12]
vc2c,127815836,0.1,6.5,500,[155  14  21  58],[34  7  6 15]
vc2c,127815836,0.1,3.0,300,[159  10  23  56],[33  8  8 13]
vc2c,127815836,0.30000000000000004,6.5,100,[158  11  23  56],[33  8  7 14]
vc2c,127815836,0.1,10.0,500,[157  12  24  55],[33  8  8 13]
vc2c,127815836,0.30000000000000004,10.0,100,[158  11  21  58],[33  8  7 14]
vc2c,127815836,0.30000000000000004,3.0,300,[155  14  17  62],[34  7  8 13]
vc2c,127815836,0.1,3.0,500,[158  11  24  55],[33  8  7 14]
vc2c,127815836,0.5,3.0,100,[158  11  22  57],[33  8  8 13]
vc2c,127815836,0.30000000000000004,6.5,300,[160   9  25  54],[33  8  8 13]
vc2c,127815836,0.5,6.5,100,[156  13  22  57],[34  7  9 12]
vc2c,127815836,0.30000000000000004,10.0,300,[157  12  19  60],[33  8  6 15]
vc2c,127815836,0.30000000000000004,3.0,500,[158  11  22  57],[33  8  8 13]
vc2c,127815836,0.5,3.0,300,[159  10  23  56],[33  8  9 12]
vc2c,127815836,0.5,10.0,100,[157  12  18  61],[31 10  7 14]
vc2c,127815836,0.30000000000000004,6.5,500,[157  12  20  59],[32  9  9 12]
vc2c,127815836,0.5,6.5,300,[159  10  22  57],[33  8  7 14]
vc2c,1214435741,0.1,3.0,100,[160  12  13  63],[30  8  5 19]
vc2c,127815836,0.30000000000000004,10.0,500,[157  12  24  55],[33  8  7 14]
vc2c,127815836,0.5,3.0,500,[158  11  22  57],[32  9  9 12]
vc2c,1214435741,0.1,6.5,100,[160  12  24  52],[31  7  4 20]
vc2c,127815836,0.5,10.0,300,[156  13  17  62],[34  7  8 13]
vc2c,1214435741,0.1,10.0,100,[159  13  28  48],[31  7  5 19]
vc2c,1214435741,0.1,6.5,300,[159  13  27  49],[31  7  4 20]
vc2c,127815836,0.5,6.5,500,[156  13  13  66],[33  8  9 12]
vc2c,1214435741,0.1,3.0,300,[160  12  26  50],[31  7  4 20]
vc2c,1214435741,0.30000000000000004,3.0,100,[156  16  20  56],[31  7  4 20]
vc2c,1214435741,0.1,10.0,300,[158  14  20  56],[31  7  3 21]
vc2c,127815836,0.5,10.0,500,[157  12  18  61],[31 10  5 16]
vc2c,1214435741,0.30000000000000004,6.5,100,[156  16  23  53],[31  7  3 21]
vc2c,1214435741,0.1,10.0,500,[158  14  25  51],[31  7  4 20]
vc2c,1214435741,0.1,6.5,500,[159  13  15  61],[31  7  4 20]
vc2c,1214435741,0.1,3.0,500,[159  13  16  60],[32  6  5 19]
vc2c,1214435741,0.30000000000000004,10.0,100,[157  15  18  58],[29  9  5 19]
vc2c,1214435741,0.30000000000000004,3.0,300,[158  14  15  61],[31  7  5 19]
vc2c,1214435741,0.5,3.0,100,[160  12  22  54],[31  7  4 20]
