dataset_name,random_state,alpha0,sigma0,nEpochs,cm_tr,cm_ts
vc2c,273428140,0.3,3.0,100,[155  13  18  62],[38  4  9 11]
vc2c,2060500467,0.5,6.5,100,[156  12  15  65],[38  4  4 16]
vc2c,1101415437,0.1,3.0,100,[153  15  14  66],[34  8  6 14]
vc2c,471135573,0.1,6.5,100,[157  11  24  56],[40  2  7 13]
vc3c,1508430564,0.5,3.0,100,[ 37  11   0  12  60   8   0   3 117],[ 6  6  0  5 15  0  1  2 27]
vc2c,944242572,0.3,10.0,100,[151  17  16  64],[40  2  6 14]
vc2c,1012618162,0.5,10.0,100,[153  15  18  62],[41  1  7 13]
vc3c,1678588556,0.3,6.5,100,[ 36  11   1  17  60   3   4   3 113],[ 9  3  0  6 12  2  0  1 29]
vc2c,2060500467,0.5,10.0,100,[156  12  26  54],[40  2  4 16]
vc2c,1101415437,0.1,6.5,100,[153  15  14  66],[34  8  6 14]
vc2c,273428140,0.3,6.5,100,[156  12  15  65],[38  4  8 12]
vc2c,471135573,0.1,10.0,100,[158  10  21  59],[40  2  7 13]
vc3c,1508430564,0.5,6.5,100,[ 37  11   0  12  58  10   0   2 118],[ 6  6  0  5 15  0  1  1 28]
vc2c,944242572,0.5,3.0,100,[153  15  16  64],[37  5  4 16]
vc2c,333432936,0.1,3.0,100,[155  13  19  61],[37  5  4 16]
vc3c,1678588556,0.3,10.0,100,[ 37  10   1  12  64   4   1   2 117],[ 7  5  0  6 12  2  0  1 29]
vc2c,471135573,0.3,3.0,100,[154  14  17  63],[37  5  7 13]
vc2c,273428140,0.3,10.0,100,[156  12  17  63],[39  3  9 11]
vc2c,1101415437,0.1,10.0,100,[152  16  18  62],[34  8  6 14]
vc2c,334409416,0.1,3.0,100,[156  12  18  62],[39  3  8 12]
vc3c,1508430564,0.5,10.0,100,[ 37  11   0  13  57  10   0   2 118],[ 6  6  0  5 15  0  1  1 28]
vc2c,944242572,0.5,6.5,100,[150  18  17  63],[36  6  5 15]
vc2c,471135573,0.3,6.5,100,[153  15  18  62],[38  4  6 14]
vc2c,333432936,0.1,6.5,100,[153  15  15  65],[37  5  5 15]
vc3c,1678588556,0.5,3.0,100,[ 39   9   0  19  57   4   4   3 113],[ 8  4  0  7 11  2  0  1 29]
vc2c,273428140,0.5,3.0,100,[154  14  16  64],[37  5  6 14]
vc2c,1101415437,0.3,3.0,100,[154  14  15  65],[35  7  6 14]
vc2c,334409416,0.1,6.5,100,[154  14  17  63],[38  4  8 12]
vc3c,508038953,0.1,3.0,100,[ 32  16   0  15  58   7   1   2 117],[10  2  0  4 13  3  1  1 28]
vc2c,944242572,0.5,10.0,100,[155  13  17  63],[38  4  7 13]
vc2c,471135573,0.3,10.0,100,[154  14  19  61],[38  4  6 14]
vc2c,333432936,0.1,10.0,100,[155  13  20  60],[37  5  4 16]
vc3c,1678588556,0.5,6.5,100,[ 36  12   0  18  59   3   3   1 116],[10  2  0  7 11  2  0  1 29]
vc2c,1101415437,0.3,6.5,100,[156  12  22  58],[36  6  5 15]
vc2c,273428140,0.5,6.5,100,[153  15  16  64],[36  6  8 12]
vc2c,334409416,0.1,10.0,100,[154  14  17  63],[39  3  8 12]
vc3c,508038953,0.1,6.5,100,[ 32  16   0  15  58   7   1   2 117],[10  2  0  4 13  3  1  1 28]
vc2c,471135573,0.5,3.0,100,[154  14  19  61],[39  3  6 14]
vc2c,1653480952,0.1,3.0,100,[155  13  22  58],[37  5  5 15]
vc2c,333432936,0.3,3.0,100,[154  14  16  64],[37  5  4 16]
vc3c,1678588556,0.5,10.0,100,[ 35  13   0  12  65   3   3   1 116],[ 6  6  0  7 11  2  0  1 29]
vc2c,1101415437,0.3,10.0,100,[154  14  15  65],[34  8  6 14]
vc2c,273428140,0.5,10.0,100,[156  12  22  58],[36  6  8 12]
vc2c,334409416,0.3,3.0,100,[154  14  20  60],[39  3  8 12]
vc3c,508038953,0.1,10.0,100,[ 32  15   1  15  57   8   1   2 117],[10  1  1  4 13  3  1  1 28]
vc2c,471135573,0.5,6.5,100,[155  13  20  60],[39  3  6 14]
