dataset_name,random_state,cm_tr,cm_ts
vc2c,1688120438,[151  17  23  57],[39  3 10 10]
vc2c,1574939224,[148  20  20  60],[37  5  0 20]
vc2c,1772115024,[157  11  27  53],[37  5  4 16]
vc2c,223177552,[151  17  21  59],[36  6  2 18]
vc2c,823797517,[153  15  23  57],[39  3  4 16]
vc2c,63040297,[152  16  21  59],[37  5  4 16]
vc3c,1320910298,[ 39   8   1  18  57   5  15   4 101],[11  1  0  5 14  1  3  1 26]
vc2c,349113877,[156  12  30  50],[38  4  3 17]
vc2c,173714041,[155  13  26  54],[39  3  9 11]
vc2c,702861175,[153  15  23  57],[38  4  7 13]
vc2c,380269677,[156  12  31  49],[42  0 12  8]
vc2c,567860406,[154  14  27  53],[39  3  6 14]
vc2c,730575025,[148  20  21  59],[41  1  9 11]
vc2c,1675535513,[155  13  28  52],[40  2  7 13]
vc2c,495778187,[155  13  26  54],[37  5  5 15]
vc3c,377822342,[ 34  14   0  22  56   2   8   5 107],[12  0  0  4 15  1  3  1 26]
vc2c,1586326972,[153  15  26  54],[39  3  5 15]
vc2c,1250963153,[157  11  30  50],[38  4 10 10]
vc2c,292988335,[157  11  28  52],[41  1 10 10]
vc2c,1208057369,[153  15  24  56],[40  2  7 13]
vc2c,375682159,[156  12  21  59],[36  6  7 13]
vc2c,844867540,[158  10  26  54],[36  6  9 11]
vc3c,641931343,[ 41   6   1  19  55   6  12   7 101],[ 8  4  0  4 15  1  3  1 26]
vc2c,2015820521,[150  18  25  55],[42  0  4 16]
vc3c,133006160,[ 36  12   0  19  58   3   8   5 107],[ 8  4  0  8 12  0  4  0 26]
vc2c,1040585337,[154  14  26  54],[42  0  7 13]
vc2c,368961245,[155  13  25  55],[39  3 10 10]
vc2c,139017236,[151  17  18  62],[38  4  4 16]
vc2c,829986915,[152  16  20  60],[38  4  5 15]
vc2c,1980932681,[152  16  25  55],[40  2  5 15]
vc3c,1530937790,[ 36  12   0  15  63   2   7   5 108],[ 8  4  0  5 14  1  4  3 23]
vc2c,1056830043,[153  15  18  62],[33  9  5 15]
vc2c,399499449,[158  10  29  51],[36  6  7 13]
vc3c,1000819612,[ 38   9   1  19  54   7  11   5 104],[10  2  0  6 12  2  5  1 24]
vc2c,834749963,[156  12  26  54],[39  3  9 11]
vc2c,915280321,[155  13  24  56],[36  6  7 13]
vc2c,254628334,[155  13  31  49],[40  2  5 15]
vc2c,879897629,[154  14  26  54],[39  3  8 12]
vc3c,1374845114,[ 39   8   1  21  51   8  14   4 102],[11  1  0  6 13  1  3  1 26]
vc2c,2111180817,[153  15  19  61],[36  6  4 16]
vc3c,913970101,[ 42   5   1  24  50   6  14   5 101],[10  2  0  5 15  0  2  2 26]
vc2c,674751741,[156  12  25  55],[38  4 10 10]
vc3c,1688120438,[ 41   6   1  21  53   6  12   5 103],[10  1  1 10  9  1  3  0 27]
