,random_state,$k_{opt}$ [CV],Silhouette,Calinski-Harabasz,Davies-Bouldin,Dunn
0,1073219128,5,0,0,0,1
1,1083408183,2,1,1,1,0
2,1084850658,3,0,0,1,1
3,1122163231,2,1,1,1,1
4,1150350141,7,0,0,0,1
5,1164531875,9,0,0,0,1
6,1258145179,2,1,0,1,1
7,1279493223,3,0,0,1,0
8,1340173848,3,0,0,0,1
9,1341250263,3,0,1,1,0
10,1369999811,2,1,1,0,0
11,1415319480,9,0,0,0,1
12,1467373767,2,1,1,0,0
13,1515536585,5,0,0,0,1
14,1545156723,3,0,1,0,0
15,1563913557,2,1,1,0,0
16,1616248553,2,1,1,0,0
17,1673823422,3,0,0,1,0
18,1717607707,5,0,0,0,1
19,1769740991,8,0,0,0,1
20,1813743798,2,1,1,1,1
21,1815678476,2,1,1,0,0
22,1934644852,2,1,1,0,0
23,1948415885,8,0,0,0,1
24,1984592806,3,0,0,1,1
25,2071444879,7,0,0,0,1
26,2082721242,3,0,1,0,0
27,2105288516,6,0,0,0,1
28,383776909,2,1,1,0,0
29,439954366,8,0,0,0,1
30,496715263,2,1,1,1,0
31,515135687,6,0,0,0,1
32,553198502,3,0,1,1,0
33,565120325,2,1,0,0,0
34,582090252,2,1,1,0,0
35,641876005,5,0,0,1,0
36,658101020,9,0,0,0,1
37,661309350,2,1,1,1,0
38,732560260,8,0,0,0,1
39,734122488,9,0,0,0,1
40,73470257,3,0,1,1,0
41,769056302,2,1,1,1,0
42,771721097,3,0,1,1,0
43,773164400,2,1,1,0,0
44,780297093,2,1,1,0,0
45,888866443,2,1,1,1,1
46,933374443,2,1,1,1,0
47,94360174,3,0,1,0,0
48,972975441,7,0,0,0,1
49,991487909,7,0,0,0,1
