,random_state,$k_{opt}$ [CV],Silhouette,Calinski-Harabasz,Davies-Bouldin,Dunn
0,1073219128,2,1,1,1,0
1,1083408183,4,0,0,1,0
2,1084850658,2,1,1,0,0
3,1122163231,2,1,1,0,0
4,1150350141,2,1,1,1,0
5,1164531875,6,0,0,1,0
6,1258145179,4,0,0,0,1
7,1279493223,5,0,0,1,0
8,1340173848,4,0,0,1,0
9,1341250263,11,0,0,0,1
10,1369999811,2,1,1,0,0
11,1415319480,2,1,1,1,0
12,1467373767,2,1,1,1,0
13,1515536585,2,1,1,1,0
14,1545156723,2,1,1,0,0
15,1563913557,6,0,0,0,1
16,1616248553,12,0,0,0,1
17,1673823422,2,1,1,0,0
18,1717607707,2,1,1,1,0
19,1769740991,2,1,1,1,0
20,1813743798,2,1,1,1,0
21,1815678476,2,1,1,1,1
22,1934644852,2,1,1,0,0
23,1948415885,9,0,0,0,1
24,1984592806,5,0,0,1,0
25,2071444879,4,0,0,1,0
26,2082721242,2,1,1,1,1
27,2105288516,12,0,0,0,1
28,383776909,7,0,0,0,1
29,439954366,2,1,1,1,0
30,496715263,2,1,1,1,0
31,515135687,2,1,1,1,0
32,553198502,7,0,0,0,1
33,565120325,12,0,0,1,0
34,582090252,2,1,1,1,0
35,641876005,2,1,1,1,1
36,658101020,4,0,0,1,0
37,661309350,7,0,0,1,0
38,732560260,2,1,1,1,1
39,734122488,2,1,1,1,0
40,73470257,2,1,1,1,0
41,769056302,2,1,1,1,0
42,771721097,2,1,1,1,1
43,773164400,4,0,0,1,0
44,780297093,12,0,0,0,1
45,888866443,2,1,1,1,0
46,933374443,2,1,1,0,0
47,94360174,5,0,0,0,1
48,972975441,2,1,1,1,0
49,991487909,10,0,0,1,1
