,random_state,$k_{opt}$ [CV],Silhouette,Calinski-Harabasz,Davies-Bouldin,Dunn
0,1073219128,2,0,1,0,0
1,1083408183,2,0,1,0,0
2,1084850658,2,0,1,0,0
3,1122163231,2,0,1,0,0
4,1150350141,2,0,1,0,0
5,1164531875,2,0,1,0,0
6,1258145179,2,0,1,0,0
7,1279493223,2,0,1,0,0
8,1340173848,2,0,1,0,0
9,1341250263,2,0,1,0,0
10,1369999811,2,0,1,0,0
11,1415319480,2,0,1,0,0
12,1467373767,2,0,1,0,0
13,1515536585,2,0,1,0,0
14,1545156723,2,0,1,0,0
15,1563913557,2,0,1,0,0
16,1616248553,2,0,1,0,0
17,1673823422,2,0,1,0,0
18,1717607707,2,0,1,0,0
19,1769740991,2,0,1,0,0
20,1813743798,2,0,1,0,0
21,1815678476,2,0,1,0,0
22,1934644852,2,0,1,0,0
23,1948415885,2,0,1,0,0
24,1984592806,2,0,1,0,0
25,2071444879,2,0,1,0,0
26,2082721242,2,0,1,0,0
27,2105288516,2,0,1,0,0
28,383776909,2,0,1,0,0
29,439954366,2,0,1,0,0
30,496715263,2,0,1,0,0
31,515135687,2,0,1,0,0
32,553198502,2,0,1,0,0
33,565120325,2,0,1,0,0
34,582090252,2,0,1,0,0
35,641876005,2,0,1,0,0
36,658101020,2,0,1,0,0
37,661309350,2,0,1,0,0
38,732560260,2,0,1,0,0
39,734122488,2,0,1,0,0
40,73470257,2,0,1,0,0
41,769056302,2,0,1,0,0
42,771721097,2,0,1,0,0
43,773164400,2,0,1,0,0
44,780297093,2,0,1,0,0
45,888866443,2,0,1,0,0
46,933374443,2,0,1,0,0
47,94360174,2,0,1,0,0
48,972975441,2,0,1,0,0
49,991487909,2,0,1,0,0
